"","medias_inter$data","x","trend","seasonal","random"
"1",2015 jan,398.01015586853,NA,1.00255640497587,NA
"2",2015 fev,398.717721004614,NA,1.00152325243944,NA
"3",2015 mar,399.677506880327,NA,1.00127654673812,NA
"4",2015 abr,401.461986144935,NA,0.999676464759651,NA
"5",2015 mai,400.946146351207,NA,1.00000917218353,NA
"6",2015 jun,400.28353267308,NA,1.00053917235154,NA
"7",2015 jul,399.960375515483,400.342994352154,0.998516811049321,1.00052824486885
"8",2015 ago,399.403691643022,400.719675998575,0.997143020432022,0.999571703679224
"9",2015 set,399.730966584004,401.080817544731,0.997682830118322,0.998949201420397
"10",2015 out,402.275109332541,401.278677155428,1.00016133122493,1.00232143685332
"11",2015 nov,401.132414825203,401.436119662497,0.99975022776691,0.999493099756239
"12",2015 dez,400.323159937522,401.71927848165,1.00116476596035,0.995365273823702
"13",2016 jan,402.396486799294,402.014133399232,1.00255640497587,0.998398782806283
"14",2016 fev,403.371749587944,402.266060713606,1.00152325243944,1.00122353447133
"15",2016 mar,403.690875404759,402.532229837252,1.00127654673812,1.0015998030817
"16",2016 abr,402.19724827721,402.740703303512,0.999676464759651,0.998973811373224
"17",2016 mai,403.989504388591,402.940676569506,1.00000917218353,1.00259373760944
"18",2016 jun,404.035986295365,403.305332389109,1.00053917235154,1.0012718063089
"19",2016 jul,403.284439915175,403.626570921748,0.998516811049321,1.00063649055846
"20",2016 ago,402.125882788306,403.760209772894,0.997143020432022,0.998805801431928
"21",2016 set,403.396834406237,403.828618078455,0.997682830118322,1.00125084325329
"22",2016 out,403.612604700533,403.937134209669,1.00016133122493,0.999035408511344
"23",2016 nov,404.594277841074,404.064234427563,0.99975022776691,1.00156194244232
"24",2016 dez,405.613036592128,404.174555488029,1.00116476596035,1.00239150752975
"25",2017 jan,404.81633492802,404.2661391433,1.00255640497587,0.9988076174354
"26",2017 fev,404.159233886719,404.416595840778,1.00152325243944,0.997843653899482
"27",2017 mar,404.545190439438,404.624963837131,1.00127654673812,0.99852817819135
"28",2017 abr,403.947320391681,404.830306020676,0.999676464759651,0.998141808734363
"29",2017 mai,405.289837503565,405.018802227249,1.00000917218353,1.00066001359978
"30",2017 jun,405.383358631578,405.152276832495,1.00053917235154,1.00003116873645
"31",2017 jul,404.135075305473,405.281587004226,0.998516811049321,0.998652263805963
"32",2017 ago,404.886208137491,405.509104267192,0.997143020432022,1.00132467994738
"33",2017 set,405.63734096951,405.79151696858,0.997682830118322,1.00194173025993
"34",2017 out,406.30031054234,406.031242719978,1.00016133122493,1.00050126553709
"35",2017 nov,406.430480957031,406.201972767744,0.99975022776691,1.00081252338052
"36",2017 dez,406.98022400206,406.334283693341,1.00116476596035,1.00042441680076
"37",2018 jan,406.552591639639,406.527510062577,1.00255640497587,0.997511653367054
"38",2018 fev,407.883391486274,406.756123989317,1.00152325243944,1.00124620888921
"39",2018 mar,407.598937673203,406.89262680269,1.00127654673812,1.00045873316127
"40",2018 abr,406.646991191466,406.987141852258,0.999676464759651,0.999487592044703
"41",2018 mai,406.687687850152,407.127193952485,1.00000917218353,0.998911307599156
"42",2018 jun,407.160970499324,407.328719850441,1.00053917235154,0.999049512176581
"43",2018 jul,406.994896299389,407.594236735972,0.998516811049321,1.00001277386562
"44",2018 ago,407.513121385331,407.846242373757,0.997143020432022,1.00204604425425
"45",2018 set,406.286495242632,408.068732346865,0.997682830118322,0.997944915459943
"46",2018 out,407.91951745885,408.314409806092,1.00016133122493,0.998871722682125
"47",2018 nov,408.172524445976,408.626484884126,0.99975022776691,0.999138614804543
"48",2018 dez,410.074802064059,408.929635906072,1.00116476596035,1.00163373016189
"49",2019 jan,409.83041883037,409.203856954985,1.00255640497587,0.998977382195906
"50",2019 fev,410.6536996024,409.450085273451,1.00152325243944,1.00141418084851
"51",2019 mar,410.168388911656,409.721852115553,1.00127654673812,0.999813544784455
"52",2019 abr,409.973798974455,410.051878765495,0.999676464759651,1.00013316390265
"53",2019 mai,410.850681939985,410.325310908418,1.00000917218353,1.00127119301297
"54",2019 jun,410.273600936198,410.558321256074,1.00053917235154,0.99876799647988
"55",2019 jul,410.463571036436,410.884413677078,0.998516811049321,1.00045963459699
"56",2019 ago,409.953926291459,411.162644161184,0.997143020432022,0.99991698635207
"57",2019 set,410.368094546959,411.330823309779,0.997682830118322,0.999976593836257
"58",2019 out,411.758557753129,411.557462987667,1.00016133122493,1.00032723490764
"59",2019 nov,410.895855581834,411.694828898766,0.99975022776691,0.998308656674759
"60",2019 dez,412.943719271956,411.806558830441,1.00116476596035,1.00159477118633
"61",2020 jan,414.787719726562,411.98375448041,1.00255640497587,1.00423876827144
"62",2020 fev,412.373930324762,412.091308018695,1.00152325243944,0.999163845712275
"63",2020 mar,412.484457755575,412.164436076254,1.00127654673812,0.999500532613316
"64",2020 abr,413.097082399854,412.245564594131,0.999676464759651,1.0023898681008
"65",2020 mai,411.024180380951,412.35702512156,1.00000917218353,0.996758598462449
"66",2020 jun,412.781620855427,412.437489693986,1.00053917235154,1.00029505236809
"67",2020 jul,412.208246716462,412.499708102817,0.998516811049321,1.0007777689712
"68",2020 ago,410.790535530272,412.647818493777,0.997143020432022,0.998351378220057
"69",2020 set,411.286558689581,412.877315059978,0.997682830118322,0.998460748312855
"70",2020 out,412.787178039551,413.072734684656,1.00016133122493,0.999147507607229
"71",2020 nov,412.542287953695,413.270976503053,0.99975022776691,0.99848617194756
"72",2020 dez,413.228436638327,413.501577738545,1.00116476596035,0.998176801271794
"73",2021 jan,415.996244172127,413.6744287425,1.00255640497587,1.00304846556278
"74",2021 fev,414.720055262248,413.88484829834,1.00152325243944,1.00049396453976
"75",2021 mar,415.646250406901,414.169256306465,1.00127654673812,1.00228669482977
"76",2021 abr,414.625360740806,414.425146910608,0.999676464759651,1.00080690846926
"77",2021 mai,414.253705681537,414.686895741528,1.00000917218353,0.998946217879933
"78",2021 jun,415.086525206635,414.972689927639,1.00053917235154,0.999735290301994
"79",2021 jul,414.051766460192,415.123164615057,0.998516811049321,0.998900642064296
"80",2021 ago,413.997085126695,415.20350681857,0.997143020432022,0.999951224846472
"81",2021 set,414.905801288152,415.269880514478,0.997682830118322,1.00144378618871
"82",2021 out,415.309309940414,415.34065334819,1.00016133122493,0.999763242632641
"83",2021 nov,416.302127994903,415.50581264921,0.99975022776691,1.00216680972544
"84",2021 dez,416.327657063802,415.684788872161,1.00116476596035,1.00038131795716
"85",2022 jan,416.508416244664,415.868411519468,1.00255640497587,0.998985149092515
"86",2022 fev,416.136096074031,416.093020670762,1.00152325243944,0.998582430370815
"87",2022 mar,415.823178296898,416.216900631196,1.00127654673812,0.99778033206951
"88",2022 abr,416.1469808599,416.267232283519,0.999676464759651,1.00003466610638
"89",2022 mai,416.69590878694,416.347870971978,1.00000917218353,1.00082675056765
"90",2022 jun,416.939751452038,416.374895099734,1.00053917235154,1.00081699235949
"91",2022 jul,416.605483750166,NA,0.998516811049321,NA
"92",2022 ago,416.833987467785,NA,0.997143020432022,NA
"93",2022 set,415.042017997471,NA,0.997682830118322,NA
"94",2022 out,416.381052886846,NA,1.00016133122493,NA
"95",2022 nov,417.165713571479,NA,0.99975022776691,NA
"96",2022 dez,416.112650553385,NA,1.00116476596035,NA
